nbh,bars,children_places,cinemas_theatres,schools,pre-schools,hospitals,libraries_theatres,park_gardens,sport_centers,population,net_density(hab/ha),avg_occupation,dist,num_immi,mort_rate,rent_price,num_crimes,children_places_pop,cinemas_theatres_pop,schools_pop,pre-schools_pop,hospitals_pop,libraries_theatres_pop,park_gardens_pop,sport_centers_pop,facilities_pop
Horta,4.0,9.0,3.0,11.0,7.0,3.0,5.0,3.0,2.0,26715.0,422.0,2.5,Horta-Guinardó,1127.0,805.5,2.97,7871.0,0.3368893879842785,0.11229646266142616,0.4117536964252293,0.2620250795433277,0.11229646266142616,0.18716077110237692,0.11229646266142616,0.07486430844095078,0.16844469399213927
Navas,2.0,3.0,,6.0,3.0,,,,,22129.0,984.0,2.5,Sant Andreu,988.0,696.0,3.029,10657.0,0.13556871074156085,,0.2711374214831217,0.13556871074156085,,,,,
Pedralbes,1.0,7.0,,8.0,41.0,,10.0,9.0,1.0,12076.0,147.0,2.9,Les Corts,764.0,661.6,6.34,7444.0,0.5796621397813846,,0.6624710168930109,3.395163961576681,,0.8280887711162637,0.7452798940046373,0.08280887711162636,
Sant Andreu,3.0,22.0,5.0,22.0,17.0,5.0,2.0,5.0,3.0,57183.0,746.0,2.4,Sant Andreu,1965.0,763.0,3.21,10657.0,0.384729727366525,0.08743857440148296,0.384729727366525,0.29729115296504205,0.08743857440148296,0.03497542976059318,0.08743857440148296,0.052463144640889775,0.13990171904237275
Sant Antoni,9.0,8.0,4.0,11.0,11.0,1.0,5.0,7.0,1.0,38345.0,928.0,2.3,Eixample,2490.0,737.3,4.591,46210.0,0.2086321554309558,0.1043160777154779,0.28686921371756424,0.28686921371756424,0.02607901942886948,0.13039509714434735,0.1825531360020863,0.02607901942886948,0.12061546485852133
Sant Gervasi - Galvany,25.0,7.0,7.0,16.0,17.0,8.0,9.0,9.0,,47666.0,499.0,2.6,Sarrià-Sant Gervasi,2434.0,716.1,5.306,9252.0,0.14685520077203876,0.14685520077203876,0.3356690303360886,0.35664834473209417,0.1678345151680443,0.18881382956404985,0.18881382956404985,,
Sant Gervasi - la Bonanova,3.0,7.0,2.0,19.0,29.0,5.0,4.0,7.0,1.0,25774.0,314.0,2.8,Sarrià-Sant Gervasi,1181.0,775.5,5.029,9252.0,0.27159152634437805,0.07759757895553658,0.7371770000775976,1.1251648948552804,0.1939939473888415,0.15519515791107316,0.27159152634437805,0.03879878947776829,0.21824319081244664
"Sant Pere, Santa Caterina i la Ribera",33.0,5.0,11.0,9.0,16.0,1.0,22.0,2.0,1.0,22721.0,700.0,2.3,Ciutat Vella,2765.0,911.4,5.152,44241.0,0.22006073676334667,0.4841336208793627,0.3961093261740241,0.7041943576427094,0.04401214735266934,0.9682672417587256,0.08802429470533868,0.04401214735266934,0.2805774393732671
Sants,10.0,7.0,4.0,19.0,16.0,4.0,4.0,6.0,1.0,41127.0,740.0,2.4,Sants-Montjuïc,2839.0,782.1,3.6660000000000004,20219.0,0.17020448853551196,0.09725970773457826,0.4619836117392467,0.38903883093831293,0.09725970773457826,0.09725970773457826,0.1458895616018674,0.02431492693364456,0.13677146400175064
Sarrià,2.0,13.0,1.0,22.0,25.0,6.0,5.0,11.0,3.0,25032.0,260.0,2.8,Sarrià-Sant Gervasi,1208.0,758.7,6.042000000000001,9252.0,0.5193352508788751,0.03994886545222116,0.8788750399488655,0.9987216363055288,0.2396931927133269,0.1997443272611058,0.4394375199744328,0.11984659635666345,0.3046100990731864
el Barri Gòtic,29.0,3.0,5.0,5.0,10.0,1.0,23.0,2.0,2.0,16062.0,471.0,2.5,Ciutat Vella,2687.0,1004.5,4.8839999999999995,44241.0,0.1867762420620097,0.3112937367700161,0.3112937367700161,0.6225874735400323,0.06225874735400324,1.4319511891420744,0.12451749470800648,0.12451749470800648,0.3190760801892666
el Camp d'en Grassot i Gràcia Nova,1.0,4.0,1.0,10.0,9.0,2.0,1.0,3.0,4.0,34329.0,891.0,2.3,Gràcia,1791.0,821.6,4.391,7731.0,0.11651956072125608,0.02912989018031402,0.2912989018031402,0.2621690116228261,0.05825978036062804,0.02912989018031402,0.08738967054094207,0.11651956072125608,0.0910309068134813
el Congrés i els Indians,1.0,8.0,1.0,11.0,5.0,,1.0,2.0,,14116.0,737.0,2.4,Sant Andreu,603.0,748.5,2.83,10657.0,0.5667327854916407,0.0708415981864551,0.7792575800510059,0.3542079909322754,,0.0708415981864551,0.1416831963729102,,
el Fort Pienc,4.0,5.0,3.0,9.0,6.0,2.0,5.0,8.0,1.0,32016.0,959.0,2.5,Eixample,2237.0,807.6,4.107,46210.0,0.15617191404297853,0.0937031484257871,0.2811094452773613,0.1874062968515742,0.06246876561719141,0.15617191404297853,0.2498750624687656,0.031234382808595706,0.12884182908545727
el Guinardó,1.0,15.0,,13.0,12.0,2.0,6.0,10.0,1.0,36467.0,699.0,2.4,Horta-Guinardó,1837.0,733.8,3.1639999999999997,7871.0,0.4113307922231058,,0.3564866865933584,0.32906463377848466,0.05484410562974744,0.16453231688924233,0.2742205281487372,0.02742205281487372,
el Parc i la Llacuna del Poblenou,10.0,4.0,3.0,3.0,9.0,,4.0,3.0,,15134.0,758.0,2.5,Sant Martí,959.0,868.2,4.0760000000000005,22417.0,0.2643055372010044,0.19822915290075327,0.19822915290075327,0.5946874587022598,,0.2643055372010044,0.19822915290075327,,
el Poble-sec,12.0,10.0,13.0,13.0,13.0,1.0,11.0,24.0,5.0,,,,,,,,,,,,,,,,,
el Poblenou,2.0,9.0,4.0,15.0,16.0,1.0,2.0,7.0,3.0,33843.0,795.0,2.5,Sant Martí,1765.0,864.1,4.324,22417.0,0.26593387111071715,0.11819283160476315,0.4432231185178619,0.4727713264190527,0.029548207901190792,0.059096415802381584,0.20683745530833555,0.08864462370357237,0.15143456549360282
el Putxet i el Farró,1.0,6.0,2.0,8.0,7.0,2.0,1.0,7.0,1.0,29470.0,555.0,2.4,Sarrià-Sant Gervasi,1515.0,721.4,4.289,9252.0,0.2035968781812012,0.0678656260604004,0.2714625042416016,0.2375296912114014,0.0678656260604004,0.0339328130302002,0.2375296912114014,0.0339328130302002,0.11452324397692568
el Raval,40.0,8.0,19.0,11.0,19.0,3.0,20.0,8.0,2.0,47608.0,959.0,2.8,Ciutat Vella,5400.0,1005.4,4.029,44241.0,0.16803898504453033,0.3990925894807595,0.2310536044362292,0.3990925894807595,0.06301461939169888,0.42009746261132586,0.16803898504453033,0.04200974626113258,0.18641824903377585
l'Antiga Esquerra de l'Eixample,45.0,9.0,5.0,14.0,24.0,4.0,12.0,10.0,,42284.0,631.0,2.3,Eixample,3467.0,802.8,5.091,46210.0,0.212846466748652,0.11824803708258445,0.33109450383123645,0.5675905779964052,0.09459842966606756,0.2837952889982026,0.23649607416516885,,
la Barceloneta,13.0,4.0,1.0,5.0,17.0,3.0,6.0,2.0,3.0,14996.0,1107.0,2.2,Ciutat Vella,1759.0,1090.5,5.165,44241.0,0.26673779674579884,0.06668444918644971,0.3334222459322486,1.1336356361696451,0.2000533475593492,0.4001066951186984,0.13336889837289942,0.2000533475593492,0.20005334755934912
la Dreta de Eixample,43.0,9.0,12.0,25.0,35.0,3.0,28.0,13.0,,,,,,,,,,,,,,,,,,
la Maternitat i Sant Ramon,4.0,7.0,5.0,7.0,58.0,3.0,14.0,11.0,1.0,23948.0,734.0,2.5,Les Corts,1335.0,649.9,4.3389999999999995,7444.0,0.29229998329714385,0.20878570235510271,0.29229998329714385,2.4219141473191907,0.12527142141306166,0.5845999665942877,0.459328545181226,0.04175714047102055,0.2505428428261233
la Nova Esquerra de l'Eixample,12.0,14.0,2.0,17.0,25.0,3.0,9.0,11.0,2.0,58180.0,891.0,2.4,Eixample,4062.0,736.1,4.465,46210.0,0.2406325197662427,0.03437607425232038,0.2921966311447233,0.4297009281540048,0.051564111378480576,0.15469233413544173,0.18906840838776207,0.03437607425232038,0.1246132691646614
la Sagrada Família,5.0,12.0,2.0,13.0,9.0,2.0,2.0,9.0,1.0,51539.0,1006.0,2.4,Eixample,3591.0,785.9,4.209,46210.0,0.23283338830788336,0.038805564717980565,0.2522361706668736,0.17462504123091252,0.038805564717980565,0.038805564717980565,0.17462504123091252,0.019402782358990282,0.09943925958982518
la Sagrera,1.0,6.0,1.0,10.0,11.0,2.0,2.0,2.0,1.0,29084.0,736.0,2.5,Sant Andreu,1354.0,742.4,3.2960000000000003,10657.0,0.20629899601155274,0.03438316600192545,0.3438316600192546,0.3782148260211801,0.0687663320038509,0.0687663320038509,0.0687663320038509,0.03438316600192545,0.1031494980057764
la Vila Olímpica del Poblenou,5.0,4.0,3.0,6.0,14.0,1.0,3.0,6.0,2.0,9367.0,387.0,2.7,Sant Martí,410.0,641.5,5.402,22417.0,0.4270310665100886,0.3202732998825665,0.640546599765133,1.49460873278531,0.10675776662752216,0.3202732998825665,0.640546599765133,0.2135155332550443,0.3336180207110067
la Vila de Gràcia,30.0,9.0,18.0,22.0,16.0,2.0,5.0,2.0,5.0,50662.0,607.0,2.2,Gràcia,3587.0,814.0,4.426,7731.0,0.17764794125774744,0.3552958825154949,0.43425052307449374,0.3158185622359954,0.039477320279499434,0.09869330069874856,0.039477320279499434,0.09869330069874856,0.15544194860052898
les Corts,8.0,12.0,1.0,22.0,13.0,4.0,1.0,12.0,4.0,46009.0,705.0,2.4,Les Corts,2276.0,720.4,4.821000000000001,7444.0,0.26081853550392314,0.021734877958660262,0.4781673150905258,0.2825534134625834,0.08693951183464105,0.021734877958660262,0.26081853550392314,0.08693951183464105,0.15214414571062182
Baró de Viver,,4.0,,3.0,2.0,,,2.0,,2539.0,649.0,2.6,Sant Andreu,92.0,1067.6,2.83,10657.0,1.5754233950374164,,1.1815675462780622,0.7877116975187082,,,0.7877116975187082,,
Can Baró,,3.0,,3.0,1.0,,,1.0,,8994.0,627.0,2.4,Horta-Guinardó,473.0,861.0,2.859,7871.0,0.33355570380253496,,0.33355570380253496,0.11118523460084499,,,0.11118523460084499,,
Can Peguera,,2.0,,,1.0,,,,,2271.0,375.0,2.4,Nou Barris,57.0,968.0,2.33,8627.0,0.8806693086745927,,,0.4403346543372964,,,,,
Canyelles,,2.0,,3.0,1.0,,1.0,1.0,2.0,6856.0,618.0,2.5,Nou Barris,140.0,804.9,2.33,8627.0,0.2917152858809801,,0.4375729288214703,0.14585764294049006,,0.14585764294049006,0.14585764294049006,0.2917152858809801,
Ciutat Meridiana,,7.0,1.0,5.0,4.0,,,,1.0,10342.0,683.0,2.9,Nou Barris,838.0,793.9,1.4980000000000002,8627.0,0.6768516727905628,0.09669309611293753,0.4834654805646877,0.3867723844517501,,,,0.09669309611293753,
Diagonal Mar i el Front Marítim del Poblenou,,5.0,,4.0,4.0,1.0,1.0,2.0,,13629.0,592.0,2.5,Sant Martí,780.0,731.7,6.402,22417.0,0.36686477364443465,,0.2934918189155477,0.2934918189155477,0.07337295472888693,0.07337295472888693,0.14674590945777385,,
Hostafrancs,,1.0,3.0,6.0,8.0,,1.0,1.0,1.0,15904.0,710.0,2.4,Sants-Montjuïc,1159.0,831.3,3.912,20219.0,0.06287726358148894,0.1886317907444668,0.3772635814889336,0.5030181086519115,,0.06287726358148894,0.06287726358148894,0.06287726358148894,
Montbau,,4.0,,5.0,14.0,4.0,3.0,4.0,1.0,5102.0,448.0,2.4,Horta-Guinardó,256.0,1052.9,2.92,7871.0,0.7840062720501764,,0.9800078400627206,2.744021952175617,0.7840062720501764,0.5880047040376323,0.7840062720501764,0.1960015680125441,
Porta,,14.0,1.0,7.0,9.0,,,4.0,2.0,25000.0,710.0,2.5,Nou Barris,1398.0,758.1,2.705,8627.0,0.5599999999999999,0.04,0.28,0.36000000000000004,,,0.16,0.08,
Provençals del Poblenou,,10.0,,8.0,6.0,1.0,1.0,2.0,,20487.0,1490.0,2.5,Sant Martí,974.0,774.7,3.194,22417.0,0.488114414018646,,0.3904915312149168,0.2928686484111876,0.048811441401864594,0.048811441401864594,0.0976228828037292,,
Sant Genís dels Agudells,,9.0,,3.0,2.0,,1.0,3.0,1.0,6854.0,379.0,2.4,Horta-Guinardó,386.0,929.9,2.92,7871.0,1.3131018383425737,,0.4377006127808579,0.29180040852057193,,0.14590020426028594,0.4377006127808579,0.14590020426028594,
Sant Martí de Provençals,,11.0,1.0,13.0,10.0,1.0,2.0,2.0,2.0,26146.0,1116.0,2.5,Sant Martí,1073.0,761.1,2.759,22417.0,0.4207144496290064,0.03824676814809149,0.4972079859251893,0.3824676814809149,0.03824676814809149,0.07649353629618298,0.07649353629618298,0.07649353629618298,0.15298707259236596
Sants - Badal,,1.0,,3.0,5.0,1.0,,,,23987.0,955.0,2.4,Sants-Montjuïc,1476.0,729.5,3.469,20219.0,0.041689248342852384,,0.12506774502855714,0.2084462417142619,0.041689248342852384,,,,
Torre Baró,,1.0,,1.0,1.0,1.0,1.0,,1.0,2856.0,135.0,3.0,Nou Barris,95.0,945.9,2.33,8627.0,0.3501400560224089,,0.3501400560224089,0.3501400560224089,0.3501400560224089,0.3501400560224089,,0.3501400560224089,
Vallbona,,2.0,,1.0,1.0,,,,,1372.0,203.0,2.9,Nou Barris,69.0,1479.2,2.33,8627.0,1.4577259475218658,,0.7288629737609329,0.7288629737609329,,,,,
Vallcarca i els Penitents,,8.0,,10.0,9.0,5.0,2.0,3.0,2.0,15759.0,335.0,2.4,Gràcia,772.0,777.2,3.5410000000000004,7731.0,0.5076464242654991,,0.6345580303318739,0.5711022272986864,0.3172790151659369,0.12691160606637478,0.19036740909956212,0.12691160606637478,
"Vallvidrera, el Tibidabo i les Planes",,5.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,4670.0,52.0,3.0,Sarrià-Sant Gervasi,187.0,1251.1,5.27,9252.0,1.0706638115631693,0.2141327623126338,0.8565310492505352,0.8565310492505352,0.4282655246252676,0.4282655246252676,0.6423982869379015,0.2141327623126338,0.4817987152034262
Verdun,,4.0,,5.0,5.0,1.0,,,,12353.0,867.0,2.4,Nou Barris,666.0,776.7,2.331,8627.0,0.32380798186675297,,0.4047599773334413,0.4047599773334413,0.08095199546668826,,,,
Vilapicina i la Torre Llobeta,,6.0,,9.0,9.0,1.0,1.0,1.0,1.0,25591.0,870.0,2.4,Nou Barris,1056.0,795.4,2.7739999999999996,8627.0,0.23445742643898246,,0.3516861396584737,0.3516861396584737,0.03907623773983041,0.03907623773983041,0.03907623773983041,0.03907623773983041,
el Baix Guinardó,,4.0,,11.0,8.0,1.0,1.0,3.0,1.0,25672.0,1082.0,2.4,Horta-Guinardó,1285.0,836.6,3.4930000000000003,7871.0,0.1558117793705204,,0.4284823932689311,0.3116235587410408,0.0389529448426301,0.0389529448426301,0.11685883452789032,0.0389529448426301,
el Besòs i el Maresme,,19.0,1.0,7.0,10.0,2.0,2.0,4.0,2.0,23009.0,885.0,2.8,Sant Martí,2016.0,803.2,2.786,22417.0,0.8257638315441783,0.04346125429179886,0.30422878004259196,0.4346125429179886,0.08692250858359772,0.08692250858359772,0.17384501716719544,0.08692250858359772,0.2010083010995697
el Bon Pastor,,8.0,,4.0,4.0,1.0,2.0,1.0,1.0,12560.0,702.0,2.8,Sant Andreu,658.0,959.9,2.83,10657.0,0.6369426751592356,,0.3184713375796178,0.3184713375796178,0.07961783439490445,0.1592356687898089,0.07961783439490445,0.07961783439490445,
el Camp de l'Arpa del Clot,,7.0,4.0,14.0,9.0,2.0,1.0,1.0,,38168.0,888.0,2.4,Sant Martí,2201.0,758.0,3.5610000000000004,22417.0,0.1833997065604695,0.1047998323202683,0.366799413120939,0.23579962272060365,0.05239991616013415,0.026199958080067073,0.026199958080067073,,
el Carmel,,12.0,,10.0,7.0,2.0,1.0,4.0,3.0,31551.0,802.0,2.5,Horta-Guinardó,1414.0,794.2,2.242,7871.0,0.3803365978891319,,0.3169471649076099,0.22186301543532694,0.06338943298152197,0.031694716490760985,0.12677886596304394,0.09508414947228297,
el Clot,,10.0,2.0,9.0,5.0,1.0,,4.0,1.0,27039.0,1145.0,2.5,Sant Martí,1302.0,757.7,3.5239999999999996,22417.0,0.3698361625799769,0.0739672325159954,0.33285254632197936,0.18491808128998846,0.0369836162579977,,0.1479344650319908,0.0369836162579977,
el Coll,,3.0,,1.0,1.0,,,1.0,1.0,7412.0,598.0,2.4,Gràcia,372.0,743.4,3.98,7731.0,0.40474905558553703,,0.13491635186184567,0.13491635186184567,,,0.13491635186184567,0.13491635186184567,
el Turó de la Peira,,5.0,,4.0,4.0,1.0,1.0,2.0,1.0,15467.0,1152.0,2.5,Nou Barris,878.0,729.4,2.33,8627.0,0.3232688950669167,,0.2586151160535333,0.2586151160535333,0.06465377901338333,0.06465377901338333,0.12930755802676666,0.06465377901338333,
la Bordeta,,7.0,3.0,5.0,5.0,1.0,,2.0,1.0,18530.0,891.0,2.5,Sants-Montjuïc,945.0,759.1,3.1710000000000003,20219.0,0.37776578521316784,0.1618996222342148,0.2698327037236913,0.2698327037236913,0.05396654074473826,,0.10793308148947653,0.05396654074473826,
la Font d'en Fargues,,1.0,,13.0,10.0,,,1.0,,9383.0,238.0,2.5,Horta-Guinardó,283.0,826.5,3.2060000000000004,7871.0,0.10657572205051688,,1.3854843866567197,1.0657572205051689,,,0.10657572205051688,,
la Font de la Guatlla,,1.0,,6.0,7.0,,1.0,1.0,,10401.0,912.0,2.4,Sants-Montjuïc,646.0,1049.1,3.51,20219.0,0.09614460148062688,,0.5768676088837611,0.6730122103643881,,0.09614460148062688,0.09614460148062688,,
la Guineueta,,9.0,,8.0,7.0,1.0,2.0,2.0,,15231.0,691.0,2.5,Nou Barris,493.0,735.9,2.33,8627.0,0.5909001378766989,,0.5252445670015101,0.4595889961263213,0.06565557087518878,0.13131114175037753,0.13131114175037753,,
la Marina de Port,,15.0,1.0,15.0,11.0,5.0,1.0,10.0,4.0,30584.0,777.0,2.6,Sants-Montjuïc,1499.0,815.1,2.7230000000000003,20219.0,0.4904525241956579,0.03269683494637718,0.4904525241956579,0.3596651844101491,0.16348417473188595,0.03269683494637718,0.3269683494637719,0.13078733978550874,0.2084423227831546
la Marina del Prat Vermell,,3.0,,2.0,2.0,,2.0,1.0,,1149.0,32.0,2.6,Sants-Montjuïc,32.0,,,20219.0,2.610966057441253,,1.7406440382941688,1.7406440382941688,,1.7406440382941688,0.8703220191470844,,
la Prosperitat,,7.0,,9.0,9.0,1.0,,1.0,,26389.0,965.0,2.5,Nou Barris,1206.0,754.2,2.213,8627.0,0.2652620410019326,,0.3410511955739134,0.3410511955739134,0.037894577285990376,,0.037894577285990376,,
la Salut,,3.0,,5.0,6.0,6.0,2.0,2.0,1.0,13185.0,680.0,2.4,Gràcia,732.0,869.3,3.5610000000000004,7731.0,0.22753128555176336,,0.3792188092529389,0.4550625711035267,0.4550625711035267,0.15168752370117555,0.15168752370117555,0.07584376185058778,
la Teixonera,,6.0,,2.0,,,,1.0,,11619.0,630.0,2.4,Horta-Guinardó,512.0,858.5,2.5,7871.0,0.5163955589981926,,0.17213185299939754,,,,0.08606592649969877,,
la Trinitat Nova,,4.0,1.0,3.0,2.0,1.0,,,,7261.0,578.0,2.5,Nou Barris,458.0,1099.0,2.33,8627.0,0.5508883073956755,0.13772207684891888,0.4131662305467566,0.27544415369783776,0.13772207684891888,,,,
la Trinitat Vella,,4.0,,4.0,5.0,1.0,2.0,,1.0,9983.0,786.0,2.9,Sant Andreu,675.0,756.9,1.776,10657.0,0.4006811579685465,,0.4006811579685465,0.5008514474606831,0.10017028949213663,0.20034057898427327,,0.10017028949213663,
la Vall d'Hebron,,9.0,,3.0,5.0,,4.0,7.0,3.0,5784.0,724.0,2.5,Horta-Guinardó,187.0,854.0,2.92,7871.0,1.5560165975103732,,0.5186721991701245,0.8644536652835407,,0.6915629322268326,1.2102351313969573,0.5186721991701245,
la Verneda i la Pau,,17.0,,9.0,6.0,1.0,,,1.0,28691.0,716.0,2.5,Sant Martí,1240.0,813.8,2.443,22417.0,0.5925203025338956,,0.31368721898853297,0.209124812659022,0.03485413544317033,,,0.03485413544317033,
les Roquetes,,6.0,,4.0,2.0,1.0,1.0,2.0,,15590.0,856.0,2.7,Nou Barris,920.0,869.4,1.885,8627.0,0.3848620910840282,,0.25657472738935216,0.12828736369467608,0.06414368184733804,0.06414368184733804,0.12828736369467608,,
les Tres Torres,,5.0,2.0,2.0,4.0,5.0,1.0,3.0,,16667.0,391.0,3.0,Sarrià-Sant Gervasi,702.0,708.5,5.689,9252.0,0.2999940001199976,0.11999760004799905,0.11999760004799905,0.2399952000959981,0.2999940001199976,0.05999880002399952,0.17999640007199855,,
la Clota,,,,,,,,2.0,,610.0,100.0,2.3,Horta-Guinardó,39.0,1033.9,2.92,7871.0,,,,,,,3.278688524590164,,
la Dreta de l'Eixample,,,,,,,,,,44052.0,387.0,2.4,Eixample,3200.0,897.2,6.332000000000001,46210.0,,,,,,,,,
el Poble Sec,,,,,,,,,,40228.0,1043.0,2.5,Sants-Montjuïc,3087.0,,,20219.0,,,,,,,,,
