,nbh,bars,children_places,cinemas_theatres,schools,pre-schools,hospitals,libraries_theatres,park_gardens,sport_centers,population,net_density(hab/ha),avg_occupation,dist,num_immi,mort_rate,rent_price,num_crimes,children_places_pop,cinemas_theatres_pop,schools_pop,pre-schools_pop,hospitals_pop,libraries_theatres_pop,park_gardens_pop,sport_centers_pop,facilities_pop
0,Horta,4.0,20.0,3.0,11.0,7.0,3.0,5.0,3.0,2.0,26715.0,422.0,2.5,Horta-Guinardó,1127.0,"805,5",2.97,7.871  ,0.7486430844095078,0.11229646266142616,0.4117536964252293,0.2620250795433277,0.11229646266142616,0.18716077110237694,0.11229646266142616,0.07486430844095078,0.21991390604529293
1,Navas,2.0,8.0,,6.0,3.0,,,,,22129.0,984.0,2.5,Sant Andreu,988.0,"696,0",3.029,10.657  ,0.3615165619774956,,0.2711374214831217,0.13556871074156085,,,,,
2,Pedralbes,1.0,14.0,,8.0,41.0,,10.0,9.0,1.0,12076.0,147.0,2.9,Les Corts,764.0,"661,6",6.34,7.444  ,1.1593242795627692,,0.6624710168930109,3.395163961576681,,0.8280887711162637,0.7452798940046373,0.08280887711162636,
3,Sant Andreu,3.0,54.0,5.0,22.0,17.0,5.0,2.0,5.0,3.0,57183.0,746.0,2.4,Sant Andreu,1965.0,"763,0",3.21,10.657  ,0.9443366035360159,0.08743857440148296,0.384729727366525,0.29729115296504205,0.08743857440148296,0.03497542976059318,0.08743857440148296,0.052463144640889775,0.2098525785635591
4,Sant Antoni,9.0,16.0,4.0,11.0,11.0,1.0,5.0,7.0,1.0,38345.0,928.0,2.3,Eixample,2490.0,"737,3",4.591,46.210  ,0.4172643108619116,0.1043160777154779,0.28686921371756424,0.28686921371756424,0.026079019428869477,0.13039509714434735,0.1825531360020863,0.026079019428869477,0.1466944842873908
5,Sant Gervasi - Galvany,25.0,14.0,7.0,16.0,17.0,8.0,9.0,9.0,,47666.0,499.0,2.6,Sarrià-Sant Gervasi,2434.0,"716,1",5.306,9.252  ,0.2937104015440775,0.14685520077203876,0.3356690303360886,0.35664834473209417,0.1678345151680443,0.18881382956404985,0.18881382956404985,,
6,Sant Gervasi - la Bonanova,3.0,16.0,2.0,19.0,29.0,5.0,4.0,7.0,1.0,25774.0,314.0,2.8,Sarrià-Sant Gervasi,1181.0,"775,5",5.029,9.252  ,0.6207806316442926,0.07759757895553658,0.7371770000775976,1.1251648948552804,0.1939939473888415,0.15519515791107316,0.27159152634437805,0.03879878947776829,0.26189182897493596
7,"Sant Pere, Santa Caterina i la Ribera",33.0,64.0,11.0,9.0,16.0,1.0,22.0,2.0,1.0,22721.0,700.0,2.3,Ciutat Vella,2765.0,"911,4",5.152,44.241  ,2.8167774305708377,0.48413362087936274,0.39610932617402406,0.7041943576427094,0.04401214735266934,0.9682672417587255,0.08802429470533868,0.04401214735266934,0.6051670260992033
8,Sants,10.0,14.0,4.0,19.0,16.0,4.0,4.0,6.0,1.0,41127.0,740.0,2.4,Sants-Montjuïc,2839.0,"782,1",3.666,20.219  ,0.3404089770710239,0.09725970773457826,0.46198361173924674,0.38903883093831304,0.09725970773457826,0.09725970773457826,0.1458895616018674,0.024314926933644565,0.15804702506868967
9,Sarrià,2.0,26.0,1.0,22.0,25.0,6.0,5.0,11.0,3.0,25032.0,260.0,2.8,Sarrià-Sant Gervasi,1208.0,"758,7",6.042,9.252  ,1.0386705017577502,0.039948865452221156,0.8788750399488655,0.9987216363055288,0.23969319271332692,0.1997443272611058,0.43943751997443276,0.11984659635666346,0.36952700543304573
10,el Barri Gòtic,29.0,6.0,5.0,5.0,10.0,1.0,23.0,2.0,2.0,16062.0,471.0,2.5,Ciutat Vella,2687.0,"1.004,5",4.884,44.241  ,0.3735524841240194,0.31129373677001615,0.31129373677001615,0.6225874735400323,0.06225874735400324,1.4319511891420744,0.12451749470800648,0.12451749470800648,0.3424231104470178
11,el Camp d'en Grassot i Gràcia Nova,1.0,8.0,1.0,10.0,9.0,2.0,1.0,3.0,4.0,34329.0,891.0,2.3,Gràcia,1791.0,"821,6",4.391,7.731  ,0.23303912144251215,0.02912989018031402,0.2912989018031402,0.26216901162282613,0.05825978036062804,0.02912989018031402,0.08738967054094207,0.11651956072125608,0.10559585190363832
12,el Congrés i els Indians,1.0,20.0,1.0,11.0,5.0,,1.0,2.0,,14116.0,737.0,2.4,Sant Andreu,603.0,"748,5",n.d.,10.657  ,1.4168319637291016,0.0708415981864551,0.7792575800510059,0.3542079909322754,,0.0708415981864551,0.1416831963729102,,
13,el Fort Pienc,4.0,10.0,3.0,9.0,6.0,2.0,5.0,8.0,1.0,32016.0,959.0,2.5,Eixample,2237.0,"807,6",4.107,46.210  ,0.31234382808595706,0.0937031484257871,0.2811094452773613,0.1874062968515742,0.062468765617191405,0.15617191404297853,0.24987506246876562,0.031234382808595702,0.14836331834082958
14,el Guinardó,1.0,32.0,,13.0,12.0,2.0,6.0,10.0,1.0,36467.0,699.0,2.4,Horta-Guinardó,1837.0,"733,8",3.164,7.871  ,0.877505690075959,,0.35648668659335836,0.32906463377848466,0.05484410562974744,0.16453231688924233,0.2742205281487372,0.02742205281487372,
15,el Parc i la Llacuna del Poblenou,10.0,77.0,3.0,3.0,9.0,,4.0,3.0,,15134.0,758.0,2.5,Sant Martí,959.0,"868,2",4.076,22.417  ,5.087881591119334,0.19822915290075327,0.19822915290075327,0.5946874587022598,,0.26430553720100436,0.19822915290075327,,
16,el Poble-sec,12.0,22.0,13.0,13.0,13.0,1.0,11.0,24.0,5.0,,,,,,,,,,,,,,,,,
17,el Poblenou,2.0,18.0,4.0,15.0,16.0,1.0,2.0,7.0,3.0,33843.0,795.0,2.5,Sant Martí,1765.0,"864,1",4.324,22.417  ,0.5318677422214343,0.11819283160476317,0.4432231185178619,0.4727713264190527,0.029548207901190792,0.059096415802381584,0.20683745530833555,0.08864462370357237,0.18467629938244248
18,el Putxet i el Farró,1.0,12.0,2.0,8.0,7.0,2.0,1.0,7.0,1.0,29470.0,555.0,2.4,Sarrià-Sant Gervasi,1515.0,"721,4",4.289,9.252  ,0.4071937563624024,0.0678656260604004,0.2714625042416016,0.2375296912114014,0.0678656260604004,0.0339328130302002,0.2375296912114014,0.0339328130302002,0.13997285374957583
19,el Raval,40.0,16.0,19.0,11.0,19.0,3.0,20.0,8.0,2.0,47608.0,959.0,2.8,Ciutat Vella,5400.0,"1.005,4",4.029,44.241  ,0.33607797008906065,0.39909258948075954,0.23105360443622922,0.39909258948075954,0.06301461939169888,0.42009746261132586,0.16803898504453033,0.04200974626113258,0.20742312216434214
20,l'Antiga Esquerra de l'Eixample,45.0,18.0,5.0,14.0,24.0,4.0,12.0,10.0,,42284.0,631.0,2.3,Eixample,3467.0,"802,8",5.091,46.210  ,0.42569293349730397,0.11824803708258443,0.33109450383123645,0.5675905779964052,0.09459842966606755,0.2837952889982026,0.23649607416516885,,
21,la Barceloneta,13.0,8.0,1.0,5.0,17.0,3.0,6.0,2.0,3.0,14996.0,1107.0,2.2,Ciutat Vella,1759.0,"1.090,5",5.165,44.241  ,0.5334755934915977,0.06668444918644971,0.3334222459322486,1.1336356361696451,0.20005334755934917,0.40010669511869834,0.13336889837289942,0.20005334755934917,0.233395572152574
22,la Dreta de Eixample,43.0,18.0,12.0,25.0,35.0,3.0,28.0,13.0,,,,,,,,,,,,,,,,,,
23,la Maternitat i Sant Ramon,4.0,14.0,5.0,7.0,58.0,3.0,14.0,11.0,1.0,23948.0,734.0,2.5,Les Corts,1335.0,"649,9",4.339,7.444  ,0.5845999665942877,0.20878570235510271,0.29229998329714385,2.421914147319191,0.12527142141306163,0.5845999665942877,0.459328545181226,0.04175714047102055,0.2870803407382663
24,la Nova Esquerra de l'Eixample,12.0,30.0,2.0,17.0,25.0,3.0,9.0,11.0,2.0,58180.0,891.0,2.4,Eixample,4062.0,"736,1",4.465,46.210  ,0.5156411137848057,0.034376074252320386,0.2921966311447233,0.4297009281540048,0.051564111378480576,0.15469233413544173,0.18906840838776212,0.034376074252320386,0.1589893434169818
25,la Sagrada Família,5.0,24.0,2.0,13.0,9.0,2.0,2.0,9.0,1.0,51539.0,1006.0,2.4,Eixample,3591.0,"785,9",4.209,46.210  ,0.4656667766157667,0.03880556471798056,0.2522361706668736,0.17462504123091252,0.03880556471798056,0.03880556471798056,0.17462504123091252,0.01940278235899028,0.1285434331283106
26,la Sagrera,1.0,12.0,1.0,10.0,11.0,2.0,2.0,2.0,1.0,29084.0,736.0,2.5,Sant Andreu,1354.0,"742,4",3.296,10.657  ,0.4125979920231055,0.03438316600192545,0.3438316600192546,0.37821482602118006,0.0687663320038509,0.0687663320038509,0.0687663320038509,0.03438316600192545,0.12893687250722047
27,la Vila Olímpica del Poblenou,5.0,8.0,3.0,6.0,14.0,1.0,3.0,6.0,2.0,9367.0,387.0,2.7,Sant Martí,410.0,"641,5",5.402,22.417  ,0.8540621330201772,0.3202732998825665,0.640546599765133,1.4946087327853101,0.10675776662752215,0.3202732998825665,0.640546599765133,0.2135155332550443,0.3869969040247678
28,la Vila de Gràcia,30.0,20.0,18.0,22.0,16.0,2.0,5.0,2.0,5.0,50662.0,607.0,2.2,Gràcia,3587.0,"814,0",4.426,7.731  ,0.3947732027949943,0.3552958825154949,0.43425052307449374,0.3158185622359954,0.03947732027949943,0.09869330069874857,0.03947732027949943,0.09869330069874857,0.18258260629268483
29,les Corts,8.0,24.0,1.0,22.0,13.0,4.0,1.0,12.0,4.0,46009.0,705.0,2.4,Les Corts,2276.0,"720,4",4.821,7.444  ,0.5216370710078463,0.021734877958660262,0.4781673150905258,0.2825534134625834,0.08693951183464105,0.021734877958660262,0.26081853550392314,0.08693951183464105,0.18474646264861225
30,Baró de Viver,,8.0,,3.0,2.0,,,2.0,,2539.0,649.0,2.6,Sant Andreu,92.0,"1.067,6",n.d.,10.657  ,3.1508467900748327,,1.1815675462780622,0.7877116975187082,,,0.7877116975187082,,
31,Can Baró,,6.0,,3.0,1.0,,,1.0,,8994.0,627.0,2.4,Horta-Guinardó,473.0,"861,0",2.859,7.871  ,0.66711140760507,,0.333555703802535,0.111185234600845,,,0.111185234600845,,
32,Can Peguera,,4.0,,,1.0,,,,,2271.0,375.0,2.4,Nou Barris,57.0,"968,0",,8.627  ,1.7613386173491854,,,0.44033465433729635,,,,,
33,Canyelles,,4.0,,3.0,1.0,,1.0,1.0,2.0,6856.0,618.0,2.5,Nou Barris,140.0,"804,9",,8.627  ,0.5834305717619602,,0.43757292882147025,0.14585764294049006,,0.14585764294049006,0.14585764294049006,0.2917152858809801,
34,Ciutat Meridiana,,14.0,1.0,5.0,4.0,,,,1.0,10342.0,683.0,2.9,Nou Barris,838.0,"793,9",1.498,8.627  ,1.3537033455811256,0.09669309611293753,0.4834654805646877,0.3867723844517501,,,,0.09669309611293753,
35,Diagonal Mar i el Front Marítim del Poblenou,,16.0,,4.0,4.0,1.0,1.0,2.0,,13629.0,592.0,2.5,Sant Martí,780.0,"731,7",6.402,22.417  ,1.1739672756621908,,0.2934918189155477,0.2934918189155477,0.07337295472888693,0.07337295472888693,0.14674590945777385,,
36,Hostafrancs,,2.0,3.0,6.0,8.0,,1.0,1.0,1.0,15904.0,710.0,2.4,Sants-Montjuïc,1159.0,"831,3",3.912,20.219  ,0.12575452716297789,0.1886317907444668,0.3772635814889336,0.5030181086519115,,0.06287726358148894,0.06287726358148894,0.06287726358148894,
37,Montbau,,8.0,,5.0,14.0,4.0,3.0,4.0,1.0,5102.0,448.0,2.4,Horta-Guinardó,256.0,"1.052,9",,7.871  ,1.5680125441003527,,0.9800078400627206,2.7440219521756175,0.7840062720501764,0.5880047040376323,0.7840062720501764,0.1960015680125441,
38,Porta,,34.0,1.0,7.0,9.0,,,4.0,2.0,25000.0,710.0,2.5,Nou Barris,1398.0,"758,1",2.705,8.627  ,1.36,0.04,0.27999999999999997,0.36000000000000004,,,0.16,0.08,
39,Provençals del Poblenou,,20.0,,8.0,6.0,1.0,1.0,2.0,,20487.0,1490.0,2.5,Sant Martí,974.0,"774,7",3.194,22.417  ,0.9762288280372919,,0.39049153121491675,0.2928686484111876,0.048811441401864594,0.048811441401864594,0.09762288280372919,,
40,Sant Genís dels Agudells,,18.0,,3.0,2.0,,1.0,3.0,1.0,6854.0,379.0,2.4,Horta-Guinardó,386.0,"929,9",n.d.,7.871  ,2.6262036766851473,,0.4377006127808579,0.29180040852057193,,0.14590020426028597,0.4377006127808579,0.14590020426028597,
41,Sant Martí de Provençals,,22.0,1.0,13.0,10.0,1.0,2.0,2.0,2.0,26146.0,1116.0,2.5,Sant Martí,1073.0,"761,1",2.759,22.417  ,0.8414288992580128,0.038246768148091484,0.49720798592518933,0.38246768148091487,0.038246768148091484,0.07649353629618297,0.07649353629618297,0.07649353629618297,0.20557637879599175
42,Sants - Badal,,2.0,,3.0,5.0,1.0,,,,23987.0,955.0,2.4,Sants-Montjuïc,1476.0,"729,5",3.469,20.219  ,0.08337849668570475,,0.12506774502855714,0.2084462417142619,0.04168924834285238,,,,
43,Torre Baró,,2.0,,1.0,1.0,1.0,1.0,,1.0,2856.0,135.0,3.0,Nou Barris,95.0,"945,9",,8.627  ,0.7002801120448179,,0.35014005602240894,0.35014005602240894,0.35014005602240894,0.35014005602240894,,0.35014005602240894,
44,Vallbona,,4.0,,1.0,1.0,,,,,1372.0,203.0,2.9,Nou Barris,69.0,"1.479,2",,8.627  ,2.9154518950437316,,0.7288629737609329,0.7288629737609329,,,,,
45,Vallcarca i els Penitents,,16.0,,10.0,9.0,5.0,2.0,3.0,2.0,15759.0,335.0,2.4,Gràcia,772.0,"777,2",3.541,7.731  ,1.0152928485309982,,0.6345580303318739,0.5711022272986864,0.31727901516593693,0.12691160606637478,0.19036740909956215,0.12691160606637478,
46,"Vallvidrera, el Tibidabo i les Planes",,22.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,4670.0,52.0,3.0,Sarrià-Sant Gervasi,187.0,"1.251,1",n.d.,9.252  ,4.710920770877944,0.2141327623126338,0.8565310492505352,0.8565310492505352,0.4282655246252676,0.4282655246252676,0.6423982869379015,0.2141327623126338,0.936830835117773
47,Verdun,,8.0,,5.0,5.0,1.0,,,,12353.0,867.0,2.4,Nou Barris,666.0,"776,7",2.331,8.627  ,0.647615963733506,,0.40475997733344127,0.40475997733344127,0.08095199546668826,,,,
48,Vilapicina i la Torre Llobeta,,12.0,,9.0,9.0,1.0,1.0,1.0,1.0,25591.0,870.0,2.4,Nou Barris,1056.0,"795,4",2.774,8.627  ,0.46891485287796486,,0.3516861396584737,0.3516861396584737,0.03907623773983041,0.03907623773983041,0.03907623773983041,0.03907623773983041,
49,el Baix Guinardó,,8.0,,11.0,8.0,1.0,1.0,3.0,1.0,25672.0,1082.0,2.4,Horta-Guinardó,1285.0,"836,6",3.493,7.871  ,0.3116235587410408,,0.4284823932689311,0.3116235587410408,0.0389529448426301,0.0389529448426301,0.11685883452789031,0.0389529448426301,
50,el Besòs i el Maresme,,40.0,1.0,7.0,10.0,2.0,2.0,4.0,2.0,23009.0,885.0,2.8,Sant Martí,2016.0,"803,2",2.786,22.417  ,1.7384501716719545,0.04346125429179886,0.304228780042592,0.4346125429179886,0.08692250858359772,0.08692250858359772,0.17384501716719544,0.08692250858359772,0.3150940936155418
51,el Bon Pastor,,16.0,,4.0,4.0,1.0,2.0,1.0,1.0,12560.0,702.0,2.8,Sant Andreu,658.0,"959,9",n.d.,10.657  ,1.2738853503184713,,0.3184713375796178,0.3184713375796178,0.07961783439490445,0.1592356687898089,0.07961783439490445,0.07961783439490445,
52,el Camp de l'Arpa del Clot,,14.0,4.0,14.0,9.0,2.0,1.0,1.0,,38168.0,888.0,2.4,Sant Martí,2201.0,"758,0",3.561,22.417  ,0.366799413120939,0.1047998323202683,0.366799413120939,0.23579962272060365,0.05239991616013415,0.026199958080067073,0.026199958080067073,,
53,el Carmel,,24.0,,10.0,7.0,2.0,1.0,4.0,3.0,31551.0,802.0,2.5,Horta-Guinardó,1414.0,"794,2",2.242,7.871  ,0.7606731957782638,,0.3169471649076099,0.22186301543532694,0.06338943298152198,0.03169471649076099,0.12677886596304397,0.09508414947228297,
54,el Clot,,22.0,2.0,9.0,5.0,1.0,,4.0,1.0,27039.0,1145.0,2.5,Sant Martí,1302.0,"757,7",3.524,22.417  ,0.8136395576759496,0.0739672325159954,0.33285254632197936,0.18491808128998852,0.0369836162579977,,0.1479344650319908,0.0369836162579977,
55,el Coll,,6.0,,1.0,1.0,,,1.0,1.0,7412.0,598.0,2.4,Gràcia,372.0,"743,4",n.d.,7.731  ,0.809498111171074,,0.13491635186184567,0.13491635186184567,,,0.13491635186184567,0.13491635186184567,
56,el Turó de la Peira,,10.0,,4.0,4.0,1.0,1.0,2.0,1.0,15467.0,1152.0,2.5,Nou Barris,878.0,"729,4",n.d.,8.627  ,0.6465377901338334,,0.2586151160535333,0.2586151160535333,0.06465377901338333,0.06465377901338333,0.12930755802676666,0.06465377901338333,
57,la Bordeta,,14.0,3.0,5.0,5.0,1.0,,2.0,1.0,18530.0,891.0,2.5,Sants-Montjuïc,945.0,"759,1",3.171,20.219  ,0.7555315704263357,0.1618996222342148,0.26983270372369134,0.26983270372369134,0.053966540744738264,,0.10793308148947653,0.053966540744738264,
58,la Font d'en Fargues,,2.0,,13.0,10.0,,,1.0,,9383.0,238.0,2.5,Horta-Guinardó,283.0,"826,5",3.206,7.871  ,0.21315144410103376,,1.3854843866567197,1.0657572205051689,,,0.10657572205051688,,
59,la Font de la Guatlla,,2.0,,6.0,7.0,,1.0,1.0,,10401.0,912.0,2.4,Sants-Montjuïc,646.0,"1.049,1",3.51,20.219  ,0.19228920296125374,,0.5768676088837611,0.6730122103643881,,0.09614460148062687,0.09614460148062687,,
60,la Guineueta,,18.0,,8.0,7.0,1.0,2.0,2.0,,15231.0,691.0,2.5,Nou Barris,493.0,"735,9",n.d.,8.627  ,1.1818002757533979,,0.5252445670015101,0.4595889961263213,0.06565557087518877,0.13131114175037753,0.13131114175037753,,
61,la Marina de Port,,30.0,1.0,15.0,11.0,5.0,1.0,10.0,4.0,30584.0,777.0,2.6,Sants-Montjuïc,1499.0,"815,1",2.723,20.219  ,0.9809050483913158,0.032696834946377186,0.4904525241956579,0.3596651844101491,0.16348417473188595,0.032696834946377186,0.3269683494637719,0.13078733978550874,0.26974888830761184
62,la Marina del Prat Vermell,,6.0,,2.0,2.0,,2.0,1.0,,1149.0,32.0,2.6,Sants-Montjuïc,32.0,,,20.219  ,5.221932114882507,,1.7406440382941688,1.7406440382941688,,1.7406440382941688,0.8703220191470844,,
63,la Prosperitat,,14.0,,9.0,9.0,1.0,,1.0,,26389.0,965.0,2.5,Nou Barris,1206.0,"754,2",2.213,8.627  ,0.5305240820038652,,0.3410511955739134,0.3410511955739134,0.037894577285990376,,0.037894577285990376,,
64,la Salut,,6.0,,5.0,6.0,6.0,2.0,2.0,1.0,13185.0,680.0,2.4,Gràcia,732.0,"869,3",3.561,7.731  ,0.4550625711035267,,0.37921880925293894,0.4550625711035267,0.4550625711035267,0.15168752370117555,0.15168752370117555,0.07584376185058778,
65,la Teixonera,,12.0,,2.0,,,,1.0,,11619.0,630.0,2.4,Horta-Guinardó,512.0,"858,5",2.5,7.871  ,1.0327911179963851,,0.17213185299939754,,,,0.08606592649969877,,
66,la Trinitat Nova,,8.0,1.0,3.0,2.0,1.0,,,,7261.0,578.0,2.5,Nou Barris,458.0,"1.099,0",n.d.,8.627  ,1.101776614791351,0.13772207684891888,0.4131662305467566,0.27544415369783776,0.13772207684891888,,,,
67,la Trinitat Vella,,8.0,,4.0,5.0,1.0,2.0,,1.0,9983.0,786.0,2.9,Sant Andreu,675.0,"756,9",1.776,10.657  ,0.8013623159370931,,0.40068115796854653,0.5008514474606831,0.10017028949213663,0.20034057898427327,,0.10017028949213663,
68,la Vall d'Hebron,,18.0,,3.0,5.0,,4.0,7.0,3.0,5784.0,724.0,2.5,Horta-Guinardó,187.0,"854,0",n.d.,7.871  ,3.1120331950207465,,0.5186721991701245,0.8644536652835407,,0.6915629322268326,1.2102351313969573,0.5186721991701245,
69,la Verneda i la Pau,,34.0,,9.0,6.0,1.0,,,1.0,28691.0,716.0,2.5,Sant Martí,1240.0,"813,8",2.443,22.417  ,1.1850406050677913,,0.31368721898853297,0.209124812659022,0.034854135443170335,,,0.034854135443170335,
70,les Roquetes,,12.0,,4.0,2.0,1.0,1.0,2.0,,15590.0,856.0,2.7,Nou Barris,920.0,"869,4",1.885,8.627  ,0.7697241821680564,,0.25657472738935216,0.12828736369467608,0.06414368184733804,0.06414368184733804,0.12828736369467608,,
71,les Tres Torres,,10.0,2.0,2.0,4.0,5.0,1.0,3.0,,16667.0,391.0,3.0,Sarrià-Sant Gervasi,702.0,"708,5",5.689,9.252  ,0.5999880002399952,0.11999760004799903,0.11999760004799903,0.23999520009599806,0.2999940001199976,0.059998800023999516,0.17999640007199857,,
72,la Clota,,,,,,,,2.0,,610.0,100.0,2.3,Horta-Guinardó,39.0,"1.033,9",,7.871  ,,,,,,,3.278688524590164,,
73,la Dreta de l'Eixample,,,,,,,,,,44052.0,387.0,2.4,Eixample,3200.0,"897,2",6.332,46.210  ,,,,,,,,,
74,el Poble Sec,,,,,,,,,,40228.0,1043.0,2.5,Sants-Montjuïc,3087.0,,,20.219  ,,,,,,,,,
